"player.name","shotAssists","assists","fromThrowIns","regularPlay","fromFreeKick","fromKeeper","fromCounter","fromCorner","fromKickOff","fromGoalKick","fromOther","passLength","groundPass","highPass","lowPass","rightFoot","head","leftFoot","other","noTouch","dropKick","startX","startY","endX","endY","startPosition","endPosition","group"
"Vivianne Miedema",63,18,16,27,10,2,2,2,0,4,0,17.0950834698413,45,13,5,46,1,15,1,0,0,101.550793650794,37.5238095238095,105.993650793651,42.3285714285714,24.7849439366046,17.1938250941283,"60"
"Bethany Mead",75,14,8,19,7,1,1,35,1,3,0,28.9579063613333,24,42,9,61,1,13,0,0,0,111.304,44.772,108.738666666667,39.124,32.2651016165631,13.6536786039778,"60"
"Caroline Weir",89,10,5,18,16,0,4,44,1,0,1,30.5490608314607,26,56,7,4,0,85,0,0,0,101.76404494382,38.7550561797753,106.494382022472,38.2460674157303,39.4632477747964,15.5392914206215,"60"
"Danielle van de Donk",57,10,19,21,2,1,4,6,3,1,0,16.3052321982456,47,6,4,44,0,12,0,1,0,98.2035087719298,39.0561403508772,104.3,39.6245614035088,28.1448127273201,18.9482784269562,"60"
"Keira Walsh",39,10,2,18,3,0,7,5,0,4,0,29.2692451538462,24,12,3,34,0,4,1,0,0,77.0435897435897,44.9179487179487,96.4435897435897,43.1923076923077,48.258051254265,28.2650531734955,"40"
"Fara Williams",65,9,11,19,7,1,6,18,1,2,0,25.7569890969231,22,34,9,47,1,15,1,1,0,96.9538461538462,39.4523076923077,103.484615384615,37.3184615384615,37.7269678370462,19.538069561638,"60"
"Janine Beckie",42,9,13,19,4,1,2,2,0,1,0,26.3317158809524,19,17,6,38,0,3,1,0,0,101.192857142857,62.8571428571429,106.271428571429,43.6309523809524,35.3348691129054,16.7172498635051,"50"
"Katie McCabe",33,9,4,18,5,1,0,4,0,1,0,24.3473368181818,20,9,4,7,0,26,0,0,0,93.2848484848485,26.8060606060606,101.372727272727,37.3545454545455,37.9990954217179,21.9811207959647,"40"
"Erin Cuthbert",60,8,10,18,8,0,4,18,0,2,0,27.9228348416667,21,33,6,54,1,4,1,0,0,101.456666666667,35.985,105.693333333333,40.8783333333333,35.8219760731196,16.6301227597492,"60"
"Jill Scott",43,8,6,23,3,0,7,2,1,1,0,18.5841246395349,29,8,6,40,1,2,0,0,0,91.3558139534884,54.953488372093,98.7162790697674,46.1325581395349,34.8427644737215,24.8571700982998,"50"
"Lucy Staniforth",71,8,10,18,14,1,7,18,1,2,0,26.5839741014085,37,28,6,64,0,7,0,0,0,92.5422535211268,43.5366197183099,99.9253521126761,42.212676056338,41.0094134104016,23.1345838717472,"60"
"Ramona Bachmann",37,8,12,10,3,0,4,7,0,1,0,18.4249543459459,23,8,6,29,0,8,0,0,0,104.710810810811,46.9864864864865,103.1,39.6567567567568,29.5921287803823,20.4234751008127,"40"
"Guro Reiten",38,7,10,16,3,0,0,8,1,0,0,25.8178827394737,13,20,5,3,0,34,1,0,0,102.486842105263,37.2789473684211,106.476315789474,39.6026315789474,33.3319024782319,16.145324667698,"40"
"Jonna Andersson",41,7,10,13,7,2,1,6,1,1,0,26.8452418902439,17,19,5,3,0,38,0,0,0,99.3268292682927,16.9780487804878,107.146341463415,34.3658536585366,35.9271518074235,16.2045680908269,"50"
"Kim Little",38,7,7,9,6,2,2,11,0,1,0,23.7033236052632,21,15,2,35,0,3,0,0,0,98.8447368421053,45.3315789473684,105.189473684211,40.4763157894737,33.6356054377413,18.1109442366869,"40"
"Inessa Kaagman",33,6,4,9,6,1,2,9,0,2,0,28.8354982424242,13,17,3,7,1,25,0,0,0,97.5090909090909,41.1939393939394,102.706060606061,40.3515151515152,38.390817600406,20.2016986020389,"40"
"Julia Simic",25,6,7,6,4,0,3,2,1,2,0,22.73029016,12,11,2,17,1,7,0,0,0,89.576,34.7,101.604,36.664,37.7548843718553,21.5744520671376,"30"
"Charlie Wellings",34,5,9,15,2,1,3,1,1,1,1,19.6677020529412,19,10,5,26,2,6,0,0,0,96.0617647058824,42.4647058823529,101.635294117647,40.6411764705882,31.1827881378845,21.0759958535188,"40"
"Gemma Suzanne Davison",36,5,7,14,5,0,2,5,1,2,0,21.3922522777778,24,7,5,32,1,2,1,0,0,96.2694444444444,37.4166666666667,102.513888888889,40.2305555555556,32.8861584154081,21.4063821329366,"40"
"Jordan Nobbs",43,5,13,21,4,0,1,4,0,0,0,20.7528484930233,27,11,5,40,0,3,0,0,0,94.306976744186,41.8651162790698,104.790697674419,36.3674418604651,32.8516246511737,20.5742536666145,"50"
"Lauren Hemp",27,5,2,17,3,0,2,3,0,0,0,21.4115334444444,17,4,6,3,0,24,0,0,0,100.548148148148,26.437037037037,104.107407407407,38.8851851851852,27.2243931344575,19.7493443067465,"30"
"Leah Williamson",20,5,6,8,1,0,1,4,0,0,0,26.627582555,8,7,5,18,0,0,2,0,0,85.34,55.375,100.515,39.775,41.1102504853203,23.2177851907317,"20"
"Lisa Evans",37,5,7,16,7,0,1,2,0,4,0,15.7425824594595,28,8,1,31,1,4,1,0,0,105.367567567568,54.4459459459459,104.82972972973,45.6567567567568,26.0198862375164,18.1412750488116,"40"
"Nikita Parris",27,5,6,17,1,0,0,1,0,2,0,19.1122138148148,21,5,1,21,0,6,0,0,0,99.4074074074074,49.962962962963,102.037037037037,40.5185185185185,27.8766733053899,20.9145796964826,"30"
"Bethany England",33,4,3,23,0,0,2,2,1,2,0,16.2333862636364,23,5,5,21,2,10,0,0,0,101.275757575758,36.6848484848485,103.751515151515,38.569696969697,28.2134886599608,19.8703507368415,"40"
"Claire Emslie",32,4,4,9,2,0,2,14,0,1,0,28.831377725,9,19,4,23,1,7,1,0,0,107.65625,51.75,109.1875,42.96875,33.5062650404914,13.6493621592609,"40"
"Drew Spence",26,4,8,11,0,0,3,3,0,1,0,17.3730060730769,16,5,5,19,3,3,1,0,0,91.9884615384615,37.0961538461538,99.0153846153846,35.7153846153846,31.6597414479485,24.5764538762688,"30"
"Georgia Stanway",38,4,3,13,3,0,3,14,2,0,0,25.6735441263158,17,16,5,35,1,1,1,0,0,95.4473684210526,42.9736842105263,104.960526315789,41.9921052631579,35.5781874428348,18.1937745260953,"40"
"Hannah Jayne Blundell",16,4,5,7,2,0,1,1,0,0,0,28.28514925,9,7,0,13,0,3,0,0,0,92.31875,57.35,102.89375,46.8875,38.3846063955538,20.9692261365074,"20"
"Jessica Sigsworth",12,4,2,7,2,0,0,1,0,0,0,18.665085425,4,4,4,10,0,1,1,0,0,106.333333333333,54.8666666666667,108.675,37.4,23.1658702653446,14.0315111324172,"20"
"Laura Coombs",26,4,5,8,5,0,0,7,0,1,0,32.1675498653846,7,15,4,24,0,2,0,0,0,88.8576923076923,41.4153846153846,103.511538461538,39.9076923076923,43.5516030104228,21.1062223170783,"30"
"Lucy Graham",19,4,6,7,1,1,0,1,0,3,0,24.0799548947368,9,5,5,15,0,4,0,0,0,92.0894736842105,32.5210526315789,100.089473684211,43.1315789473684,36.5279863522026,22.6033405059065,"20"
"Simone Magill",37,4,6,20,5,0,2,1,0,3,0,15.0170299945946,26,3,8,32,0,5,0,0,0,93.7108108108108,43.027027027027,97.6054054054054,42.2054054054054,32.5907871932612,27.0379214021528,"40"
"So-yun Ji",66,4,18,32,2,0,4,7,0,3,0,22.8024542924242,45,16,5,58,2,6,0,0,0,87.5984848484848,38.4212121212121,98.5924242424242,39.119696969697,38.3950125908352,25.6909108354604,"60"
"Alisha Lehmann",24,3,6,9,2,1,2,2,1,1,0,25.9158020416667,13,9,2,19,0,5,0,0,0,102.554166666667,54.4541666666667,108.370833333333,41.95,32.2297739484703,13.769968032137,"30"
"Brooke Chaplen",28,3,7,13,6,0,0,1,0,1,0,12.2830342642857,19,3,6,18,1,8,1,0,0,97.7857142857143,41.4964285714286,97.8607142857143,40.8464285714286,26.6182306441358,24.9616264350681,"30"
"Ellen White",18,3,6,6,0,0,3,0,3,0,0,15.3812396277778,14,2,2,11,0,7,0,0,0,94.8666666666667,41.8555555555556,98.8722222222222,40.0222222222222,31.3242903069128,23.7558650424545,"20"
"Francesca Kirby",31,3,8,19,0,0,2,1,0,1,0,14.7063055483871,26,1,4,25,0,5,1,0,0,97.8161290322581,39.2064516129032,100.438709677419,42.4129032258065,26.9385855408681,22.6172408802855,"40"
"Jane Ross",26,3,7,10,2,0,2,2,0,3,0,15.2601841846154,15,4,7,18,1,6,1,0,0,98.4692307692308,34.2384615384615,100.830769230769,38.6269230769231,29.7349866767423,23.834607790758,"30"
"Karen Julia Carney",47,3,9,6,7,0,3,22,0,0,0,30.6770462191489,12,28,7,44,0,3,0,0,0,108.617021276596,35,107.191489361702,38.9574468085106,36.2202546952564,14.9298213894971,"50"
"Kate Longhurst",17,3,3,9,2,0,0,0,1,2,0,23.5288425882353,10,5,2,12,1,3,1,0,0,88.8117647058824,49.2588235294118,100.076470588235,47.9823529411765,39.9184700624987,25.5935123032882,"20"
"Kayleigh Green",36,3,7,19,3,2,5,0,0,0,0,18.6733132916667,25,8,3,25,1,10,0,0,0,94.8972222222222,42.275,98.2,42.9222222222222,34.996277882161,26.0441698664833,"40"
"Kenza Dali",17,3,3,6,4,0,2,2,0,0,0,22.1313088705882,6,9,2,16,0,1,0,0,0,92.2941176470588,42.6117647058824,102.947058823529,43.7117647058824,37.5930323166162,20.4929848831852,"20"
"Leah Galton",14,3,5,6,1,1,0,0,1,0,0,15.4551643571429,11,3,0,0,0,14,0,0,0,105.635714285714,23.3357142857143,104.085714285714,33.55,26.7988916145688,20.2763599733545,"20"
"Lia Wälti",7,3,1,1,3,0,1,1,0,0,0,27.5666845714286,4,3,0,6,0,1,0,0,0,82.4428571428572,51.8,97.7285714285714,45.5714285714286,41.7986091619106,26.6314533323679,"10"
"Megan Connolly",12,3,1,4,1,0,0,6,0,0,0,24.8060423,3,8,1,10,1,0,1,0,0,100.2,37.2333333333333,106.083333333333,41.85,34.0573130890568,16.5677009064038,"20"
"Molly Pike",7,3,1,3,0,0,1,0,0,2,0,17.4082641428571,5,2,0,5,0,2,0,0,0,90.2714285714286,49.3,93.5714285714286,38.3142857142857,36.0458441369175,27.2735921802553,"10"
"Natasha Harding",18,3,4,10,1,0,1,1,0,1,0,24.10395315,7,8,3,16,0,1,1,0,0,92.0722222222222,44.9222222222222,103.488888888889,42.9111111111111,40.0746445770885,20.3921567841248,"20"
"Ria Percival",17,3,2,8,2,0,0,5,0,0,0,31.0230341764706,3,13,1,16,0,1,0,0,0,95.1705882352941,55.3294117647059,106.817647058824,42.8352941176471,41.4410363353644,17.3718788191343,"20"
"Sophie Ingle",24,3,7,10,1,0,2,4,0,0,0,21.1020843541667,17,6,1,14,0,10,0,0,0,87.5166666666667,41.9958333333333,98.3083333333333,39.4958333333333,38.058918453515,25.4307150125304,"30"
"Tessa Wullaert",49,3,7,23,2,1,3,9,2,2,0,20.9392458734694,32,13,4,36,0,13,0,0,0,97.4979591836735,46.5673469387755,101.90612244898,41.4469387755102,31.3064912729863,20.5153382798676,"50"
"Abbie McManus",19,2,8,4,3,0,2,2,0,0,0,27.6300726315789,12,6,1,17,0,1,1,0,0,81.7736842105263,45.3473684210526,98.5315789473684,45.5421052631579,46.6356738660969,27.5131875404938,"20"
"Aileen Whelan",24,2,8,13,1,0,2,0,0,0,0,20.5074866458333,15,7,2,16,2,5,1,0,0,85.5541666666667,28.5833333333333,94.2208333333333,35.275,42.5205216700818,29.6142718113892,"30"
"Amalie Vevle Eikeland",9,2,3,2,1,0,2,0,1,0,0,22.5309006888889,3,3,3,5,1,2,1,0,0,89.9888888888889,33.2,98.0666666666667,39.9777777777778,38.2956377920468,25.4989985418081,"10"
"Angharad James",27,2,7,7,4,0,3,5,0,1,0,22.1343958518519,17,8,2,21,1,4,1,0,0,93,45.8814814814815,99.1481481481482,42.9,36.9067820724116,23.7365024328243,"30"
"Brianna Visalli",18,2,3,6,1,1,4,2,0,1,0,22.6889508055556,11,4,3,14,1,3,0,0,0,92.45,39.8444444444444,103.755555555556,40.2166666666667,34.4562984700746,18.6574566812904,"20"
"Cecilie Redisch Kvamme",15,2,4,6,4,0,0,0,0,1,0,23.4136996666667,6,8,1,12,0,2,1,0,0,98.9066666666667,67.9666666666667,103.926666666667,47.5533333333333,36.702324551506,19.0592196116973,"20"
"Chloe Arthur",17,2,1,10,3,0,3,0,0,0,0,28.8710226764706,9,6,2,12,1,4,0,0,0,71.0117647058824,46.7882352941176,93.4647058823529,35.3529411764706,51.39386248433,30.3242129634844,"20"
"Demi Stokes",12,2,5,6,0,0,0,0,0,1,0,23.4885495833333,6,2,4,0,0,12,0,0,0,98.2083333333333,13.6,105.65,28.6583333333333,36.9443634643972,20.3656091577519,"20"
"Dominique Johanna Anna Bloodworth",23,2,6,10,4,0,1,1,0,1,0,30.491787873913,13,10,0,17,0,6,0,0,0,77,36.695652173913,99.0434782608696,36.9565217391304,46.8727222024645,26.5344679657594,"30"
"Ella Toone",6,2,2,2,1,0,0,0,0,1,0,23.8628096666667,4,0,2,5,0,0,0,1,0,86.65,40.8166666666667,100.083333333333,27.3166666666667,36.6140244069271,27.4502836665086,"10"
"Jade Moore",22,2,9,4,1,0,2,3,2,1,0,20.5973829454545,9,8,5,19,2,0,1,0,0,87.0545454545455,44.3136363636364,98.1909090909091,38.0136363636364,39.9251615135539,24.6046826900028,"30"
"Jessica Anne Clarke",13,2,2,7,3,1,0,0,0,0,0,22.2906511538462,5,6,2,11,0,2,0,0,0,103.438461538462,59.4384615384615,106.069230769231,44.4692307692308,29.8934123627549,15.4067361756739,"20"
"Jessica Carter",5,2,2,3,0,0,0,0,0,0,0,24.2645666,1,3,1,4,0,1,0,0,0,103.12,49.22,105.68,36.12,26.9792666515396,17.0776784439296,"10"
"Julie Biesmans",9,2,0,3,1,0,2,3,0,0,0,31.6420862222222,3,4,2,8,1,0,0,0,0,87.5555555555556,18.3333333333333,97.4444444444444,36.8888888888889,47.9726739970743,25.3037575792504,"10"
"Katie Zelem",22,2,1,2,4,0,5,10,0,0,0,27.1539852272727,11,9,2,20,0,2,0,0,0,94.0136363636364,44.1363636363636,101.795454545455,33.0818181818182,40.0121227122815,21.3791126057899,"30"
"Katrine Veje",8,2,3,4,1,0,0,0,0,0,0,25.1137475,3,4,1,0,0,8,0,0,0,113,14.625,110.875,39.25,26.497586109618,9.76667527757386,"10"
"Léa Le Garrec",18,2,1,5,3,1,2,5,0,1,0,33.9745753333333,7,11,0,14,0,4,0,0,0,94.2666666666667,30.2555555555556,104.444444444444,43.9833333333333,41.4542494387598,19.3248954035369,"20"
"Leonie Maier",3,2,2,1,0,0,0,0,0,0,0,22.818191,0,2,1,2,0,0,1,0,0,110.9,43.0666666666667,111.933333333333,27.1333333333333,31.3432357707292,15.5533155170503,"10"
"Rachel Furness",29,2,4,15,2,1,0,5,0,2,0,21.4668113103448,20,6,3,2,1,24,2,0,0,88.8034482758621,37.6896551724138,97.9896551724138,38.6551724137931,38.3809937115252,26.1556324990002,"30"
"Remi Allen",26,2,7,10,2,1,4,1,0,1,0,16.6993452846154,17,5,4,20,2,3,1,0,0,90.3576923076923,30.9538461538462,98.9192307692308,34.6923076923077,33.9060054732689,23.8251234097939,"30"
"Siri Worm",9,2,2,3,3,0,0,1,0,0,0,35.7482267777778,2,6,1,0,0,8,1,0,0,81.6111111111111,33.7666666666667,100.488888888889,38.2333333333333,49.9848564278946,24.9105812363204,"10"
"So-Hyun Cho",10,2,1,3,2,0,1,2,1,0,0,34.6549524,3,4,3,8,1,1,0,0,0,82.87,37.35,101.78,31.52,45.0413265458309,26.5268558605802,"10"
"Abbey-Leigh Stringer",8,1,4,3,0,0,1,0,0,0,0,13.71829,6,0,2,7,0,1,0,0,0,84.625,36.625,85.875,29.5,41.3172478389655,37.597117810383,"10"
"Alexandra Riley",4,1,1,3,0,0,0,0,0,0,0,32.34700075,2,2,0,2,0,2,0,0,0,88.75,24,106.75,36.75,40.5857498764545,14.8352164023468,"10"
"Amanda Nildén",6,1,2,3,1,0,0,0,0,0,0,13.15749755,3,2,1,0,1,4,1,0,0,107.7,39.6,107.416666666667,41.65,18.9174733953934,15.1086741016535,"10"
"Amy Rodgers",3,1,1,2,0,0,0,0,0,0,0,18.7307303333333,2,0,1,3,0,0,0,0,0,73,49.4666666666667,88.4,49.6,51.5506133740684,36.0014550401834,"10"
"Angela Addison",3,1,0,1,1,0,0,0,0,0,1,18.1113713333333,2,0,1,3,0,0,0,0,0,83.0666666666667,18.9,84.2333333333333,36.9666666666667,44.25948406291,36.061279164282,"10"
"Anne-Marie Heatherson",6,1,1,1,0,0,2,1,0,1,0,16.0244960833333,3,1,2,1,1,4,0,0,0,92.6666666666667,48.3333333333333,98.5,47.5,35.1190549989521,27.2750502402309,"10"
"Carla Humphrey",14,1,3,5,2,0,1,2,0,1,0,30.2555349357143,5,8,1,11,0,3,0,0,0,81.7214285714286,38.9285714285714,98.1714285714286,42.9642857142857,47.7913502049386,25.0299860872278,"20"
"Chantelle Boye-Hlorkah",19,1,4,9,3,1,0,2,0,0,0,24.3816801210526,7,9,3,15,0,3,1,0,0,95.5684210526316,52.0526315789474,102.805263157895,44.0736842105263,38.3757328019471,21.2253622690652,"20"
"Charlotte Estcourt",3,1,1,1,0,0,0,0,0,1,0,19.1584156666667,3,0,0,2,0,1,0,0,0,88,28.6666666666667,102.333333333333,35.6666666666667,40.9470603502481,22.9012325490537,"10"
"Chloe Kelly",34,1,6,10,3,0,2,11,0,1,1,32.9450565441176,10,21,3,25,1,7,1,0,0,102.611764705882,40.0911764705882,107.961764705882,39.9705882352941,37.1261025371336,15.4704756087076,"40"
"Christie Murray",17,1,0,4,3,0,1,8,0,1,0,31.1969743235294,7,9,1,16,0,1,0,0,0,99.6941176470588,36.7882352941176,102.788235294118,39.4,39.3475770242509,20.1577170564695,"20"
"Claudia Walker",15,1,3,6,4,0,2,0,0,0,0,21.6045333466667,10,4,1,12,0,3,0,0,0,91.86,50.84,96.52,47.06,38.6926766111154,28.522756262011,"20"
"Connie Scofield",4,1,2,1,1,0,0,0,0,0,0,9.648647375,3,0,1,2,0,2,0,0,0,92.75,41.5,96,39.25,29.1768650126248,26.2585342863051,"10"
"Danielle Buet",26,1,5,7,3,0,1,9,1,0,0,33.3149107307692,9,16,1,23,0,3,0,0,0,89.9115384615385,53.8230769230769,99.9884615384615,42.4961538461538,48.3498866525498,22.6106139627454,"30"
"Danielle Turner",17,1,5,6,2,0,2,1,0,1,0,30.6175186470588,7,7,3,1,0,15,1,0,0,80.9235294117647,22.1411764705882,100.5,26.5294117647059,50.6735118915362,26.031294032,"20"
"Danique Kerkdijk",5,1,0,2,0,0,1,1,1,0,0,47.08025552,0,4,1,4,1,0,0,0,0,55.02,60.22,94.8,40.94,68.8488524809747,30.4357071479088,"10"
"Dominique Bruinenberg",8,1,3,3,1,0,1,0,0,0,0,24.692393875,8,0,0,7,0,1,0,0,0,74,42.5,85.125,29.625,49.1951194551497,38.5139158912448,"10"
"Ebony Salmon",5,1,3,2,0,0,0,0,0,0,0,17.8600428,3,1,1,4,0,1,0,0,0,101.26,24.44,97.24,26.78,32.6183898922215,26.579070231298,"10"
"Ella Rutherford",14,1,2,4,6,1,1,0,0,0,0,26.9549483357143,5,8,1,2,0,11,1,0,0,91,38.4285714285714,104.785714285714,37.0714285714286,38.1984908844496,17.2758608264083,"20"
"Ellie Brazil",20,1,5,10,2,0,2,0,0,1,0,18.053191945,11,6,3,14,1,3,2,0,0,93.595,43.92,99.545,39.875,32.5796032039711,23.4039519001565,"20"
"Emma Follis",15,1,4,8,1,0,0,0,0,2,0,17.0424284,10,2,3,14,0,1,0,0,0,100.6,48.2666666666667,98.8,44.6,30.7977011939839,25.5578586288572,"20"
"Erin Simon",5,1,0,3,1,0,1,0,0,0,0,25.542877,2,2,1,4,1,0,0,0,0,84.38,52.54,96.66,45.58,46.2508446914835,27.2991432924158,"10"
"Felicity Gibbons",18,1,5,9,1,0,1,2,0,0,0,24.1912956666667,7,8,3,2,0,13,3,0,0,88.9777777777778,18.1,99.0888888888889,30.9277777777778,44.0572452357836,26.8174238133422,"20"
"Hannah Cain",16,1,7,6,1,0,1,0,0,1,0,17.902714675,11,2,3,12,0,3,1,0,0,98.6375,39.1125,102.48125,37.74375,30.3016055756038,21.2380837335959,"20"
"Hannah Short",12,1,0,0,9,0,2,1,0,0,0,38.6078055,1,10,1,10,1,1,0,0,0,74.3333333333333,43.25,105.916666666667,40.75,50.0914770309508,15.4750809842735,"20"
"Hayley Ladd",25,1,3,10,4,0,2,6,0,0,0,28.794459272,11,14,0,20,0,5,0,0,0,93.92,43.324,101.364,40.1,40.0224076599195,22.5810472180543,"30"
"Iniabasi Anefiok Umotong",22,1,2,14,4,0,0,0,0,2,0,17.3849030863636,10,4,8,19,1,0,2,0,0,104.368181818182,41.2227272727273,100.881818181818,42.1636363636364,26.0210482384023,21.4347119938931,"30"
"Jackie Groenen",24,1,3,11,1,0,5,2,0,2,0,20.8934011583333,19,4,1,19,0,4,0,1,0,87.1291666666667,43.0125,97.9875,37.0083333333333,37.463036293165,25.8350766080673,"30"
"Jade Bailey",17,1,2,5,2,0,0,7,0,1,0,27.5435171176471,10,6,1,14,0,3,0,0,0,100.035294117647,43.2705882352941,99.1,39.7764705882353,38.9310180684568,24.1829226039653,"20"
"Jasmine Matthews",7,1,0,4,0,0,1,1,0,0,1,34.0362661428571,3,4,0,0,0,7,0,0,0,64.1571428571429,19.2571428571429,94.0428571428571,22.4142857142857,60.9845561364165,31.6838110894729,"10"
"Jill Roord",9,1,2,3,3,0,1,0,0,0,0,18.1274228888889,8,0,1,3,0,6,0,0,0,88.6111111111111,36.0111111111111,97.5777777777778,34.2,32.3926129273594,25.6653512688092,"10"
"Kerys Harrop",4,1,2,1,0,0,0,1,0,0,0,22.03314775,1,2,1,0,0,3,1,0,0,91.55,14.6,95.05,20.45,43.1700433733183,33.5189021980982,"10"
"Kirsty Hanson",7,1,1,3,2,1,0,0,0,0,0,24.4528855714286,2,3,2,3,0,4,0,0,0,102.614285714286,61.2142857142857,106.457142857143,38.9285714285714,32.012861700351,17.1903808781675,"10"
"Kirsty Linnett",6,1,2,4,0,0,0,0,0,0,0,22.0546171666667,2,2,2,4,0,0,2,0,0,96.1666666666667,44.8,90.9833333333333,46.5166666666667,34.617819126904,33.1631784119555,"10"
"Kirstyn Pearce",5,1,0,2,1,0,0,0,1,1,0,41.256228,1,3,1,5,0,0,0,0,0,53.2,60.4,92.2,50.6,70.8516128927817,31.494767659046,"10"
"Kit Graham",19,1,1,12,1,0,0,2,1,2,0,21.4231411631579,12,4,3,3,3,13,0,0,0,87.1315789473684,47.3368421052632,91.6210526315789,33.8368421052632,39.7992095863207,33.3259127061711,"20"
"Laura Rafferty",2,1,0,0,0,0,0,2,0,0,0,7.29292625,1,0,1,2,0,0,0,0,0,102.5,39.5,101.5,41.5,20.182226450689,18.9154759474226,"10"
"Leanne Kiernan",3,1,1,1,0,0,0,1,0,0,0,25.1753693333333,1,2,0,2,0,1,0,0,0,115,35,111.666666666667,38.3333333333333,22.9607966275756,9.92324040325478,"10"
"Leigh-Anne Robe",10,1,4,4,0,0,1,1,0,0,0,24.3253914,5,3,2,5,0,3,2,0,0,82.07,28.43,96.58,24.42,46.8249334782558,30.3269645393219,"10"
"Loren Dykes",5,1,3,2,0,0,0,0,0,0,0,30.1026918,0,3,2,5,0,0,0,0,0,92.66,68.82,104.46,43.72,41.8043752019838,16.7257355075903,"10"
"Lucy Quinn",14,1,2,6,1,0,2,3,0,0,0,19.2193651357143,8,4,2,13,0,0,1,0,0,99.2571428571429,40.4714285714286,100.228571428571,35.4,32.4787517415965,22.9883968001196,"20"
"Magdalena Ericsson",12,1,4,6,0,0,2,0,0,0,0,31.5175899166667,5,4,3,1,1,10,0,0,0,64.975,24.45,91.825,32.2583333333333,59.1888510310002,31.3626283958509,"20"
"Maren Nævdal Mjelde",31,1,3,14,0,0,2,11,0,1,0,27.4584846580645,13,15,3,27,2,2,0,0,0,97.3193548387097,53.3451612903226,103.21935483871,44.6838709677419,38.4052111929366,20.501516260624,"40"
