"player.name","shotAssists","assists","fromThrowIns","regularPlay","fromFreeKick","fromKeeper","fromCounter","fromCorner","fromKickOff","fromGoalKick","fromOther","passLength","groundPass","highPass","lowPass","rightFoot","head","leftFoot","other","noTouch","dropKick","startX","startY","endX","endY","startPosition","endPosition","group"
"Martha Thomas",10,1,4,5,0,1,0,0,0,0,0,21.51691785,3,0,7,5,1,3,1,0,0,98.76,45.27,101.36,42.53,30.1905937181313,20.3045363772401,"10"
"Maya Le Tissier",2,1,0,0,0,0,0,1,0,1,0,27.759336,0,1,1,0,1,0,1,0,0,82.55,51.2,107.55,47,40.218514443847,14.389610976747,"10"
"Mayumi Pacheco",9,1,4,4,0,0,0,0,0,1,0,19.7107723333333,4,4,1,1,1,6,1,0,0,94.0222222222222,9.7,93.5222222222222,25.0111111111111,42.368663701649,32.5411169798777,"10"
"Megan Alexander",11,1,6,1,0,0,0,4,0,0,0,35.4245082727273,1,8,2,0,1,9,1,0,0,96.5454545454545,32.2727272727273,108.181818181818,36,46.3618038739603,16.0317247439544,"20"
"Melisa Filis",1,1,1,0,0,0,0,0,0,0,0,7.2111025,1,0,0,1,0,0,0,0,0,93,41,97,35,27.0185121722126,23.5372045918796,"10"
"Millie Bright",19,1,6,2,4,0,5,2,0,0,0,36.6157170894737,6,11,2,12,0,4,3,0,0,74.9684210526316,51.6,102.378947368421,39.1894736842105,50.6339278708059,20.9108575278622,"20"
"Millie Farrow",4,1,1,1,0,0,0,1,1,0,0,8.842056775,4,0,0,3,0,1,0,0,0,98.875,36.6,102.65,38.4,24.0811406677605,21.5733447197344,"10"
"Molly Bartrip",2,1,0,1,1,0,0,0,0,0,0,37.989865,1,1,0,2,0,0,0,0,0,58,58,94,50.5,65.502604096028,30.2760969269401,"10"
"Paige Williams",13,1,2,4,3,0,0,3,0,1,0,38.1894670769231,3,9,1,0,1,12,0,0,0,92.8461538461538,32.2307692307692,106.538461538462,33.2307692307692,46.4673701601093,17.6635213468823,"20"
"Poppy Pattinson",15,1,2,5,2,0,1,3,1,1,0,27.3389339,7,7,1,2,0,12,1,0,0,88.54,26.66,99.1066666666667,33.0866666666667,45.7011992795774,25.2945697083511,"20"
"Rachel Mclauchlan",2,1,0,1,0,1,0,0,0,0,0,17.91934525,1,1,0,2,0,0,0,0,0,102.5,55.5,107.5,39.5,23.6660937148894,12.9953873523999,"10"
"Rosella Ayane",15,1,4,8,0,1,2,0,0,0,0,19.98046248,8,4,3,8,0,6,1,0,0,100.153333333333,39.66,100.94,47.7133333333333,31.3037192020128,22.5324073441001,"20"
"Rosie Kmita",4,1,2,1,1,0,0,0,0,0,0,18.762728,3,1,0,0,0,4,0,0,0,91.25,28,95.75,39.75,37.2568386317186,26.4042098926037,"10"
"Shannon Albuery",1,1,0,0,0,0,1,0,0,0,0,5.0990195,0,0,1,0,1,0,0,0,0,103,40,108,39,17,12.0415945787923,"10"
"Stephanie Houghton",13,1,3,3,2,0,0,4,0,1,0,28.8401933384615,4,8,1,11,1,0,1,0,0,81.8846153846154,51.3153846153846,106.546153846154,43.3769230769231,41.1564021228563,15.2022602199537,"20"
"Taylor Hinds",4,1,1,2,0,0,0,1,0,0,0,12.24597775,3,0,1,3,0,1,0,0,0,94.2,48.825,97.95,49.6,35.2753186484967,25.8641390659617,"10"
"Abbi Grant",11,0,4,4,0,1,0,1,0,1,0,18.9641829090909,8,0,3,8,0,3,0,0,0,93.4818181818182,31.2363636363636,90.6363636363636,39.2272727272727,34.9503150179582,31.7059191058954,"20"
"Abigail Harrison",13,0,3,8,1,0,0,0,0,1,0,16.0630822307692,6,3,4,8,2,2,1,0,0,101.892307692308,37.3307692307692,98.1230769230769,43.2846153846154,25.866150277816,25.6123092329414,"20"
"Adelina Engman",3,0,1,0,1,1,0,0,0,0,0,13.6670116666667,1,2,0,2,0,0,1,0,0,101.766666666667,43.8,106.9,37.1333333333333,25.8681034949639,14.8621045882896,"10"
"Adriana Leon",6,0,1,0,2,0,0,3,0,0,0,25.5116436833333,1,4,1,5,0,0,1,0,0,112.316666666667,38.0166666666667,109.933333333333,48.1666666666667,31.9777163967435,14.4633134607118,"10"
"Adrienne Jordan",8,0,3,2,2,0,0,1,0,0,0,20.3118902125,4,3,1,1,0,6,1,0,0,90.7375,20.7125,96.35,34.675,40.08713967208,27.2710116277502,"10"
"Amber Gaylor",4,0,1,2,0,0,1,0,0,0,0,34.7954295,2,2,0,2,0,2,0,0,0,68,48.25,101.75,47.25,54.6379959146765,24.7118741362439,"10"
"Amy Goddard",1,0,0,0,0,0,1,0,0,0,0,59.908264,0,1,0,1,0,0,0,0,0,34,47,92,32,86.2844134244419,29.1204395571221,"10"
"Amy Turner",8,0,4,2,0,0,1,1,0,0,0,33.7122135625,4,2,2,8,0,0,0,0,0,73.3375,67.2,98.8875,52.2625,56.0071406385087,28.3523589482713,"10"
"Ann-Katrin Berger",1,0,0,0,1,0,0,0,0,0,0,69.641945,0,1,0,1,0,0,0,0,0,40,32,105,7,80.3990049689671,36.2491379207837,"10"
"Anna Filbey",4,0,1,1,1,0,1,0,0,0,0,29.27089875,2,1,1,4,0,0,0,0,0,56.575,32.175,84.05,30.425,64.2784059619136,41.1212939548407,"10"
"Anne Moorhouse",1,0,0,0,0,0,0,0,0,1,0,79.468735,0,1,0,1,0,0,0,0,0,3.4,48.2,81.2,64.4,116.887980562588,45.8344848340199,"10"
"Aoife Mannion",11,0,3,2,6,0,0,0,0,0,0,26.2438412727273,7,3,1,10,0,1,0,0,0,80.4454545454546,36.1636363636364,94.2636363636364,25.9181818181818,44.6654227181,32.4356956035641,"20"
"Ashleigh Neville",8,0,3,3,1,0,0,0,0,1,0,24.835717,4,4,0,6,0,1,1,0,0,85.6125,51.3,101.4375,41.65,42.6365369126454,24.2761343297889,"10"
"Ashley Hodson",3,0,0,1,0,0,0,1,0,1,0,26.7536678333333,1,2,0,2,1,0,0,0,0,82.4333333333333,47.7333333333333,103.866666666667,59.1,39.0240748712644,26.2486769993347,"10"
"Ava Kuyken",1,0,0,0,0,0,0,1,0,0,0,7.071068,0,0,1,1,0,0,0,0,0,98,32,93,27,23.4093998214393,29.9666481275434,"10"
"Bethan Roe",1,0,0,1,0,0,0,0,0,0,0,10.049875,0,0,1,0,0,0,1,0,0,83,53,93,54,39.2173431022552,30.4138126514911,"10"
"Bonnie Horwood",8,0,2,3,2,0,0,1,0,0,0,24.6829985,2,3,3,5,1,2,0,0,0,86.625,51.875,97.375,48,39.3735989998505,27.1057546861418,"10"
"Brooke Hendrix",3,0,0,0,1,0,1,1,0,0,0,12.9263886666667,1,1,1,0,0,1,2,0,0,100.233333333333,23.2666666666667,104.2,27.1,26.2446264708089,20.538756786016,"10"
"Charlie Taylor",1,0,1,0,0,0,0,0,0,0,0,13.892444,1,0,0,1,0,0,0,0,0,94,70,87,58,39.6988664825584,37.589892258425,"10"
"Charlotte Buxton",1,0,0,1,0,0,0,0,0,0,0,61,0,0,1,1,0,0,0,0,0,50,60,111,60,72.8010988928052,21.9317121994613,"10"
"Chloe Peplow",16,0,1,3,3,0,3,6,0,0,0,32.153045375,8,8,0,16,0,0,0,0,0,92.6875,36.65625,101.03125,41.84375,41.9534150302755,20.9407624111511,"20"
"Claire Lauren Rafferty",18,0,4,3,4,0,0,7,0,0,0,31.9844748333333,4,14,0,0,0,18,0,0,0,107.5,43.5555555555556,106.944444444444,33.5,40.0710260708117,16.10133585843,"20"
"Coral-Jade Haines",1,0,0,1,0,0,0,0,0,0,0,21.30094,0,0,1,1,0,0,0,0,0,81.6,23.2,99.4,11.5,41.9141980717752,35.1654660142589,"10"
"Courtney Brosnan",1,0,0,0,0,1,0,0,0,0,0,90.06187,0,1,0,0,0,0,0,0,1,15.2,48.6,103.7,31.9,105.152270541344,18.2016482770105,"10"
"Courtney Sweetman-Kirk",15,0,7,4,2,0,2,0,0,0,0,17.14879674,9,2,4,13,1,1,0,0,0,92.72,43.5933333333333,97.6,43.8066666666667,35.1162596678969,27.660451160323,"20"
"Danielle Carter",1,0,1,0,0,0,0,0,0,0,0,28.01785,0,1,0,1,0,0,0,0,0,107,11,108,39,31.7804971641414,12.0415945787923,"10"
"Deanna Cooper",1,0,0,1,0,0,0,0,0,0,0,16.27882,1,0,0,1,0,0,0,0,0,95,58,111,55,30.8058436014987,17.4928556845359,"10"
"Elise Hughes",6,0,0,2,0,0,1,0,0,3,0,17.2021601166667,3,1,2,5,0,1,0,0,0,87.1166666666667,38.55,92.7666666666667,26.5166666666667,40.360632255963,32.7311679302099,"10"
"Elizabeth Arnott",2,0,2,0,0,0,0,0,0,0,0,25.7669645,1,1,0,1,0,1,0,0,0,109.55,72.5,102.25,48.75,34.1660490096453,19.9804367056936,"10"
"Ellie Mason",2,0,0,1,0,0,1,0,0,0,0,16.6212665,1,1,0,0,0,2,0,0,0,67,39,78,27.5,53.3581763433691,43.8245429252512,"10"
"Ellie Roebuck",2,0,0,1,0,0,1,0,0,0,0,73.256315,0,2,0,2,0,0,0,0,0,20.2,43.45,92.45,38.65,100.163547581929,33.5638258108803,"10"
"Emily Donovan",4,0,0,2,0,1,0,1,0,0,0,22.66966725,3,1,0,4,0,0,0,0,0,83.75,44.75,96.75,42.75,38.829216371702,26.6736607204446,"10"
"Emily Simpkins",3,0,1,2,0,0,0,0,0,0,0,22.1673346666667,1,1,1,2,0,0,1,0,0,90.9,49.8666666666667,99.1333333333333,53.8666666666667,34.388170058654,27.5350930013309,"10"
"Emily Syme",5,0,0,4,1,0,0,0,0,0,0,15.68938434,2,0,3,2,0,2,0,1,0,83,35.8,90,35.8,39.6617798853328,30.6871323132005,"10"
"Emma Brownlie",2,0,0,0,2,0,0,0,0,0,0,25.185229,1,1,0,2,0,0,0,0,0,82,52,97,44.5,40.0716135293292,24.5219406079308,"10"
"Emma Mitchell",11,0,2,2,2,0,1,4,0,0,0,30.3042000909091,5,3,3,2,0,8,1,0,0,92.2909090909091,27.2909090909091,103.6,36.5272727272727,39.7084674999611,19.636450074228,"20"
"Emma Rose Kelly",1,0,1,0,0,0,0,0,0,0,0,37.01351,0,1,0,1,0,0,0,0,0,87.2,12.8,108.6,43,42.6107967538745,11.7881296226331,"10"
"Erin Bloomfield",4,0,1,0,2,0,0,0,0,1,0,21.772521875,2,1,1,3,0,0,1,0,0,97.5,50.25,97,43.25,27.4813896082056,27.4171945442524,"10"
"Esme Beth Morgan",7,0,1,4,0,0,0,0,0,2,0,18.520167,5,1,1,6,0,1,0,0,0,99.5285714285714,49.3714285714286,100.114285714286,42.0571428571429,35.1400452234569,23.2038088247297,"10"
"Esmee de Graaf",12,0,2,2,0,0,2,6,0,0,0,29.3875283333333,2,7,3,8,1,1,2,0,0,101.666666666667,50.25,100.416666666667,37.8333333333333,41.1244923680166,21.6184759360662,"20"
"Faye Bryson",6,0,4,2,0,0,0,0,0,0,0,12.6367173333333,5,1,0,3,0,2,1,0,0,96.1666666666667,63.6666666666667,99.6666666666667,53.5,34.6546362071846,25.97922090626,"10"
"Fern Whelan",3,0,0,1,1,0,0,1,0,0,0,32.4930473333333,0,3,0,1,1,0,1,0,0,82.7666666666667,52.5,108.533333333333,50.7666666666667,44.4738555660064,15.8055952706129,"10"
"Filippa Wallén",1,0,1,0,0,0,0,0,0,0,0,12.162236,0,0,1,0,0,0,1,0,0,105.1,0.1,96.5,8.7,42.5913136683996,39.1400051098617,"10"
"Frances Kitching",1,0,0,0,0,0,0,0,0,1,0,74.00878,0,1,0,1,0,0,0,0,0,6,44,78.1,60.7,114.070153852794,46.7343556711762,"10"
"Frankie Brown",9,0,0,5,1,0,3,0,0,0,0,25.1657981111111,6,1,2,5,0,4,0,0,0,68.4,39.4333333333333,84.3666666666667,46.1111111111111,56.6960981306842,39.7686685422708,"10"
"Gabrielle George",8,0,0,5,1,0,1,1,0,0,0,25.4321115,6,2,0,5,0,3,0,0,0,81.775,25.9875,97.9625,29.8,44.3303064256297,27.4719307467964,"10"
"Gemma Bonner",11,0,2,6,0,0,1,2,0,0,0,27.2070919181818,5,3,3,5,2,2,2,0,0,86.1727272727273,63.8636363636364,102.436363636364,50.0727272727273,44.0202715764162,24.0693513469712,"20"
"Gemma Evans",5,0,1,1,1,1,1,0,0,0,0,16.4263594,3,1,1,0,0,3,2,0,0,77.94,18.44,90.38,21.38,50.9050345690012,44.2003750817822,"10"
"Georgia Brougham",6,0,2,1,2,0,1,0,0,0,0,25.8623721666667,4,2,0,3,0,3,0,0,0,75.2833333333333,50.4333333333333,86.7333333333333,40.8,51.4603589718927,37.8090162144373,"10"
"Georgia Evans",2,0,1,1,0,0,0,0,0,0,0,17.765181,2,0,0,1,0,1,0,0,0,61,30.5,74.5,29.5,60.7657177808458,46.7076423654347,"10"
"Georgia Wilson",2,0,0,2,0,0,0,0,0,0,0,13.606452,2,0,0,2,0,0,0,0,0,71.2,44.05,79.9,43.4,49.1121417204145,42.7487828602763,"10"
"Geum-Min Lee",1,0,0,1,0,0,0,0,0,0,0,40.824013,0,1,0,1,0,0,0,0,0,103.6,14.2,102.2,55,30.5712283037499,23.2774569057704,"10"
"Gilly Louise Scarlett Flaherty",5,0,0,0,3,0,0,2,0,0,0,17.9405412,0,2,3,3,2,0,0,0,0,101.22,42.98,108.5,35.52,20.7320707448841,13.0854405652603,"10"
"Hannah Godfrey",6,0,2,2,0,0,1,1,0,0,0,26.2518725,2,4,0,5,0,0,1,0,0,63.7666666666667,51.05,85,39.6833333333333,58.9772217498418,37.6950943541935,"10"
"Harriet Scott",9,0,4,2,0,1,0,2,0,0,0,19.1323640777778,4,3,2,7,0,1,1,0,0,105.177777777778,52.8333333333333,107.611111111111,41.9666666666667,29.7206669670962,17.7911967501993,"10"
"Heather Payne",3,0,0,1,0,0,1,0,0,1,0,12.5479386666667,2,0,1,2,1,0,0,0,0,103,65,95,56.6666666666667,33.2631132268036,31.1444062006583,"10"
"Jacinta Galabadaarachchi",2,0,1,0,0,0,0,1,0,0,0,22.74218675,1,1,0,2,0,0,0,0,0,95.4,5.15,92.85,27.1,48.7105632768206,30.5255982231478,"10"
"Jamie-Lee Napier",1,0,1,0,0,0,0,0,0,0,0,7.725283,1,0,0,1,0,0,0,0,0,109.5,60.1,102.3,57.3,22.6773014267571,24.7503535328286,"10"
"Janni Arnth-Jensen",3,0,1,1,0,0,0,1,0,0,0,31.44079,1,2,0,3,0,0,0,0,0,106,71,99.6666666666667,41.6666666666667,34.9432214816342,22.2966842939168,"10"
"Jenna Schillaci",1,0,1,0,0,0,0,0,0,0,0,43.789154,0,1,0,0,0,1,0,0,0,53.1,38.6,81.3,5.1,66.9146471260217,52.1123785678604,"10"
"Jennifer Beattie",5,0,0,1,1,0,0,3,0,0,0,8.9082359,2,2,1,1,1,1,2,0,0,103.6,34.7,106.9,37.78,18.462863617747,14.9324561354963,"10"
"Jessica Wooley",2,0,2,0,0,0,0,0,0,0,0,21.662989,1,1,0,2,0,0,0,0,0,112,69.5,100.5,52.5,30.7255885194683,23.1797050041559,"10"
"Josanne Potter",16,0,3,1,2,0,1,7,0,2,0,45.7808963125,4,12,0,1,0,15,0,0,0,83.28125,27.6,101.58125,37.30625,55.9770312266771,21.3414720033862,"20"
"Josie Green",11,0,2,5,2,1,1,0,0,0,0,27.5038529545455,5,4,2,6,1,4,0,0,0,74,39.3727272727273,84.7545454545455,36.2272727272727,49.4263740022192,40.1912905688532,"20"
"Juliette Kemppi",3,0,0,3,0,0,0,0,0,0,0,16.02992,2,1,0,1,0,2,0,0,0,98,52.6666666666667,100.333333333333,47.3333333333333,28.6104711770552,21.9618615722494,"10"
"Kate Natkiel",9,0,1,5,2,0,0,1,0,0,0,18.2635077888889,4,4,1,8,0,1,0,0,0,107.822222222222,48.8666666666667,103.6,42.6777777777778,29.033876308974,19.7192120596731,"10"
"Katharina Baunach",9,0,0,0,2,0,0,7,0,0,0,30.7956716666667,2,7,0,0,0,9,0,0,0,112.566666666667,66.5888888888889,108.822222222222,42.6333333333333,33.0174442934693,12.4096364786365,"10"
"Katie Robinson",2,0,0,2,0,0,0,0,0,0,0,19.719552,1,0,1,2,0,0,0,0,0,112.45,36,105,26.7,30.2955769987705,20.9029535462348,"10"
"Kika van Es",3,0,1,1,1,0,0,0,0,0,0,33.6735173333333,1,1,1,2,0,1,0,0,0,58.0333333333333,54,85.6333333333333,58.4333333333333,63.881299572332,39.3544217709456,"10"
"Kirstie Levell",1,0,0,0,1,0,0,0,0,0,0,52.886673,0,1,0,1,0,0,0,0,0,55,33,106,47,65.3758365147246,15.6524758424985,"10"
"Kirsty Barton",9,0,5,3,0,0,0,0,1,0,0,25.5525244444444,3,4,2,8,0,1,0,0,0,93.7,64.1222222222222,100.633333333333,41.8888888888889,40.0488230222984,22.8947444744992,"10"
"Kirsty Smith",5,0,2,3,0,0,0,0,0,0,0,20.360648,2,1,2,3,0,2,0,0,0,95.58,9.84,100.48,27.62,40.0319287834403,23.4546671373008,"10"
"Kristine Leine",6,0,2,2,1,0,1,0,0,0,0,30.704105,1,4,1,5,1,0,0,0,0,86.15,67.1833333333333,97.85,51.05,49.8142979601784,25.7151758891836,"10"
"Laura Vetterlein",2,0,1,0,0,0,0,0,0,0,1,27.2121315,1,1,0,1,0,1,0,0,0,74.85,24,98.65,27.15,54.2217325801471,27.1983309134772,"10"
"Lauren Bruton",18,0,0,9,4,0,2,3,0,0,0,17.5712372055556,12,5,1,14,2,2,0,0,0,96.2777777777778,39.1111111111111,99.7777777777778,42.7777777777778,31.8686590034203,26.0577916646897,"20"
"Lauren James",9,0,2,5,0,0,0,2,0,0,0,21.3121353888889,7,1,1,5,0,4,0,0,0,99.6444444444444,35.1,99.6555555555556,40.5666666666667,30.9455220176282,24.8561825904595,"10"
"Lily Simkin",3,0,1,1,0,0,0,1,0,0,0,10.3435976666667,3,0,0,2,0,1,0,0,0,89.3,64.9,89.0666666666667,58.6333333333333,40.1034412140757,36.4714375914579,"10"
"Lily Woodham",4,0,0,3,1,0,0,0,0,0,0,25.815462125,3,1,0,0,0,4,0,0,0,78.25,32.25,93.25,29,49.1700415807609,33.5564121433194,"10"
"Lisa-Marie Utland",3,0,0,3,0,0,0,0,0,0,0,11.0101377,3,0,0,3,0,0,0,0,0,103.033333333333,26.4333333333333,97.9333333333333,29.3333333333333,24.3800800556925,25.1490900638509,"10"
"Lotta Ökvist",1,0,1,0,0,0,0,0,0,0,0,14.355835,0,1,0,0,0,0,1,0,0,103.1,0.1,109.6,12.9,43.3315127822697,29.0270563440387,"10"
"Lotta Oqvist",1,0,1,0,0,0,0,0,0,0,0,13.928389,1,0,0,0,0,1,0,0,0,91.5,11.3,96.5,24.3,40.4467551232481,28.2619886066073,"10"
"Louise Quinn",1,0,0,0,0,0,0,1,0,0,0,8.5440035,1,0,0,1,0,0,0,0,0,100,35,92,32,20.6155281280883,29.1204395571221,"10"
"Lucienne Reichardt",1,0,1,0,0,0,0,0,0,0,0,22.825424,1,0,0,1,0,0,0,0,0,67,32,87,21,53.6003731330296,38.0788655293195,"10"
"Lucy Whipp",7,0,2,3,1,0,0,0,0,1,0,12.2138364428571,6,0,1,5,0,2,0,0,0,92.9857142857143,37.2285714285714,94.4571428571429,43.8571428571429,30.8387843966847,27.6519798228968,"10"
"Maéva Clemaron",6,0,3,1,1,0,1,0,0,0,0,23.4381268333333,3,2,1,4,1,1,0,0,0,69.3833333333333,47.4833333333333,85,45.4,51.9356170536272,39.3276135707681,"10"
"Marie Hourihan",2,0,0,1,0,1,0,0,0,0,0,90.120895,0,2,0,2,0,0,0,0,0,13,42.5,102,30.5,107.055282688711,20.665575248694,"10"
"Marisa Ewers",4,0,1,3,0,0,0,0,0,0,0,11.8952696,1,0,3,3,0,0,1,0,0,89.75,48.25,94.5,46.25,34.4224099176367,27.4384395915321,"10"
"Martha Harris",3,0,3,0,0,0,0,0,0,0,0,19.9617303333333,1,1,1,2,0,1,0,0,0,102.833333333333,28.5333333333333,104.966666666667,29.2666666666667,36.6379632487408,20.8635258311011,"10"
"Meaghan Sargeant",10,0,1,3,3,0,0,3,0,0,0,28.5796593,3,4,3,8,0,1,1,0,0,72.31,48.89,92.06,42.75,51.0774345345493,30.5835552097448,"10"
"Megan Campbell",4,0,2,2,0,0,0,0,0,0,0,36.84397275,1,2,1,0,0,3,1,0,0,86.175,13.675,109.15,37.75,44.4993600614082,17.3199523217382,"10"
"Megan Finnigan",5,0,3,1,1,0,0,0,0,0,0,17.7071074,2,2,1,2,0,0,3,0,0,105.2,45.2,103.6,42.6,31.4735901872596,21.3024326519084,"10"
"Megan Walsh",1,0,0,0,0,0,1,0,0,0,0,92.13577,0,1,0,0,0,0,0,0,1,16,54,108,49,104.938076978759,15,"10"
"Melissa Lawley",24,0,2,8,6,0,2,6,0,0,0,25.1205911958333,13,10,1,18,0,6,0,0,0,98.725,44.0041666666667,102.279166666667,39.6208333333333,34.4442847315652,21.0878099583075,"30"
"Millie Turner",2,0,1,0,1,0,0,0,0,0,0,22.737646,2,0,0,2,0,0,0,0,0,84.95,21.1,107.6,21.55,39.8351311075227,22.3347229247303,"10"
"Nadia Nadim",3,0,1,1,0,0,0,0,0,1,0,12.4431573333333,2,1,0,2,0,1,0,0,0,98.3333333333333,60,92,53,30.7168760347662,31.6923720249275,"10"
"Niamh Charles",21,0,6,8,2,0,3,0,0,1,1,22.1266824904762,17,4,0,12,0,9,0,0,0,90.9380952380952,32.0380952380952,96.8904761904762,39.6761904761905,38.5475787716311,27.875157695471,"30"
"Niamh Fahey",10,0,3,6,0,0,1,0,0,0,0,24.4319585,8,1,1,7,0,3,0,0,0,75.41,41.79,89.53,33.82,51.0822248831682,35.7274987219396,"10"
"Nicola Cousins",4,0,1,1,2,0,0,0,0,0,0,39.20010225,0,4,0,3,0,1,0,0,0,73.5,48.5,105.5,36.25,50.791581176506,15.6841392045443,"10"
"Olivia Chance",5,0,1,1,2,0,1,0,0,0,0,21.1494134,4,1,0,0,0,5,0,0,0,83.38,29.24,98.94,37.36,39.7650117350001,23.3008382724846,"10"
"Olivia Fergusson",8,0,1,3,1,0,0,2,0,1,0,15.1421498625,6,2,0,6,0,2,0,0,0,102.25,35.75,102.5,35.125,32.0735474534314,22.1224641129069,"10"
"Pauline Bremer",9,0,3,5,0,0,1,0,0,0,0,12.6048186888889,7,1,1,9,0,0,0,0,0,94.4222222222222,39.5888888888889,95.3444444444444,38.9555555555556,31.2931789383028,26.9558308678052,"10"
"Pauline Peyraud Magnin",2,0,1,0,0,1,0,0,0,0,0,81.74112,0,2,0,0,0,1,0,0,1,16.5,29.5,96.5,42,104.092281762921,27.8813136022375,"10"
"Rachel Rowe",8,0,2,3,1,0,0,1,1,0,0,16.1970495625,7,1,0,7,0,1,0,0,0,96.75,47.35,97.1875,46.1875,36.8291020545851,27.6185893147561,"10"
"Rachel Williams",8,0,5,2,0,0,0,0,1,0,0,13.4751420375,8,0,0,7,0,1,0,0,0,90.4625,56.8375,97.0375,45.9375,36.6118381388758,26.6940221785371,"10"
"Rakel Hönnudóttir",5,0,1,2,0,0,1,1,0,0,0,22.6904396,2,3,0,3,0,1,1,0,0,90.32,44.26,102.46,42.5,34.3698881489872,17.9468886903067,"10"
"Rebecca Holloway",3,0,0,0,2,0,0,0,0,1,0,19.0391307,2,1,0,2,0,1,0,0,0,86.1333333333333,20.1,94.3,33.4333333333333,40.1287154476313,29.4533384696619,"10"
"Rebecca Jane",11,0,3,1,2,0,3,1,0,1,0,22.4620820454545,5,4,2,10,0,0,1,0,0,84.3272727272727,63.5727272727273,95.7090909090909,52.4272727272727,46.1499470778477,28.4659755935988,"20"
"Rebecca Leigh Spencer",2,0,0,1,1,0,0,0,0,0,0,66.2159585,0,2,0,2,0,0,0,0,0,15,48,80,42.5,105.511399818587,45.0358143686757,"10"
"Rhiannon Roberts",5,0,0,4,0,0,0,1,0,0,0,19.1997583,4,1,0,5,0,0,0,0,0,82.58,56.44,88.98,48.16,42.832075755474,32.5954533720951,"10"
"Rianna Dean",3,0,1,1,0,0,1,0,0,0,0,10.8477643333333,1,1,1,1,0,0,2,0,0,100.166666666667,48.2333333333333,94.4,47.3333333333333,24.3899271741442,27.3925554173745,"10"
"Rinsola Babajide",7,0,2,3,0,0,1,0,0,1,0,22.5761545714286,5,2,0,2,0,5,0,0,0,92.9857142857143,40.3285714285714,98.0857142857143,37.0285714285714,37.9520761207215,24.1927179230611,"10"
"Samantha Kerr",5,0,1,3,1,0,0,0,0,0,0,13.4683544,2,2,1,3,1,0,1,0,0,102.98,40.02,103.54,40.08,22.0782287900586,18.9606565479218,"10"
"Sarah Emma Mayling",13,0,3,6,0,1,0,1,0,2,0,21.6548623538462,8,3,2,9,0,4,0,0,0,97.5307692307692,57.5230769230769,100.384615384615,48.6076923076923,38.3576563234553,24.4639369425993,"20"
"Satara Murray",6,0,2,4,0,0,0,0,0,0,0,20.4363467833333,6,0,0,6,0,0,0,0,0,94.6666666666667,56.5,97.6666666666667,40.5,35.8455198846434,25.256480295888,"10"
"Simran Jhamat",1,0,1,0,0,0,0,0,0,0,0,9.219544,1,0,0,1,0,0,0,0,0,92,13,90,22,38.8973006775534,34.9857113690718,"10"
"Sophie Elizabeth Bradley-Auckland",9,0,1,3,4,0,0,0,0,1,0,34.3699444,3,4,2,9,0,0,0,0,0,63.9777777777778,51.0111111111111,92.5888888888889,47.4888888888889,60.0526992620046,31.2868817858829,"10"
"Sophie Howard",2,0,1,1,0,0,0,0,0,0,0,53.06857,0,1,1,2,0,0,0,0,0,48.6,24.55,101.15,24.85,73.4083562813801,25.6935634459422,"10"
"Sophie Perry-Campbell",4,0,1,0,1,0,0,2,0,0,0,35.23904225,0,3,1,0,0,3,1,0,0,109,57,106.5,30,40.7901497554415,17.3363361178905,"10"
"Tessel Middag",1,0,0,0,1,0,0,0,0,0,0,16.673632,0,1,0,0,0,1,0,0,0,94.2,41.2,110.7,43.6,25.8278919000371,9.9724620831568,"10"
"Tyler Toland",1,0,0,1,0,0,0,0,0,0,0,66.30271,0,1,0,1,0,0,0,0,0,44.7,43.8,98.1,4.5,75.3958221654224,41.7116290739165,"10"
"Victoria Williams",6,0,3,1,1,0,1,0,0,0,0,25.0584835,3,2,1,4,0,2,0,0,0,72.65,27.5333333333333,92.4166666666667,30.0833333333333,51.7568666647892,31.7319792240178,"10"
"Vyan Sampson",1,0,1,0,0,0,0,0,0,0,0,15.231546,1,0,0,1,0,0,0,0,0,74,5,88,11,57.8013840664737,43.1856457633784,"10"
"Yana Daniels",17,0,1,8,3,0,0,4,1,0,0,28.2691969411765,8,6,3,13,0,2,2,0,0,92.8058823529412,32.1176470588235,98.5941176470588,35.1823529411765,43.736013326832,25.6383647260081,"20"
